,coin,depositAllEnable,withdrawAllEnable,name,free,locked,freeze,withdrawing,ipoing,ipoable,storage,isLegalMoney,trading,networkList
0,AGLD,True,True,Adventure Gold,0,0,0,0,0,0,0,False,True,"[{'network': 'ETH', 'coin': 'AGLD', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '10', 'withdrawMin': '20', 'withdrawMax': '9999999', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
1,STPT,True,True,Standard Tokenization Protocol,0,0,0,0,0,0,0,False,True,"[{'network': 'ETH', 'coin': 'STPT', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '75', 'withdrawMin': '150', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
2,MXN,True,True,Mexican Peso,0,0,0,0,0,0,0,True,False,"[{'network': 'FIAT_MONEY', 'coin': 'MXN', 'withdrawIntegerMultiple': '1', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'FIAT', 'resetAddressStatus': False, 'addressRegex': '', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0', 'withdrawMin': '0', 'withdrawMax': '10000000000', 'minConfirm': 0, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False}]"
3,UGX,True,True,Uganda Shilling,0,0,0,0,0,0,0,True,False,"[{'network': 'FIAT_MONEY', 'coin': 'UGX', 'withdrawIntegerMultiple': '1', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'FIAT', 'resetAddressStatus': False, 'addressRegex': '', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0', 'withdrawMin': '0', 'withdrawMax': '10000000000', 'minConfirm': 0, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False}]"
4,RENBTC,False,False,renBTC,0,0,0,0,0,0,0,False,False,"[{'network': 'BSC', 'coin': 'RENBTC', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': False, 'depositEnable': False, 'withdrawEnable': False, 'depositDesc': 'Deposit for this token is not supported, please try other networks.', 'withdrawDesc': 'Withdrawal for this token is not supported, please try other networks.', 'specialTips': '', 'specialWithdrawTips': 'The network you have selected is BSC. Please ensure that the withdrawal address supports the Binance Smart Chain network. You will lose your assets if the chosen platform does not support retrievals.', 'name': 'BNB Smart Chain (BEP20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.0000042', 'withdrawMin': '0.0000084', 'withdrawMax': '10000000000', 'minConfirm': 15, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}, {'network': 'ETH', 'coin': 'RENBTC', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': False, 'withdrawEnable': False, 'depositDesc': 'The wallet is currently undergoing maintenance. Your funds in transit are safe once confirmed on the blockchain and will be credited shortly after deposits have resumed.', 'withdrawDesc': 'The wallet is currently undergoing maintenance. Withdrawals for this asset will be resumed shortly.', 'specialTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.00017', 'withdrawMin': '0.00034', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
5,GLM,True,True,Golem,0,0,0,0,0,0,0,False,True,"[{'network': 'ETH', 'coin': 'GLM', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '11', 'withdrawMin': '22', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
6,RAY,True,True,Raydium,0,0,0,0,0,0,0,False,True,"[{'network': 'SOL', 'coin': 'RAY', 'withdrawIntegerMultiple': '0.000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': 'The Solana blockchain will retain 0.00203928 SOL for your first token deposit. The following deposits will not be charge for any fee.', 'specialWithdrawTips': '', 'name': 'Solana', 'resetAddressStatus': False, 'addressRegex': '^[1-9A-HJ-NP-Za-km-z]{32,44}$', 'addressRule': 'ADDRESS', 'memoRegex': '', 'withdrawFee': '0.46', 'withdrawMin': '0.92', 'withdrawMax': '9999999', 'minConfirm': 1, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'BINANCE_BAHRAIN_BSC'}]"
7,NEAR,True,True,NEAR Protocol,0,0,0,0,0,0,0,False,True,"[{'network': 'BSC', 'coin': 'NEAR', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': False, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'specialWithdrawTips': 'The network you have selected is BSC. Please ensure that the withdrawal address supports the Binance Smart Chain network. You will lose your assets if the chosen platform does not support retrievals.', 'name': 'BNB Smart Chain (BEP20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.021', 'withdrawMin': '0.042', 'withdrawMax': '10000000000', 'minConfirm': 15, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}, {'network': 'NEAR', 'coin': 'NEAR', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'NEAR Protocol', 'resetAddressStatus': False, 'addressRegex': '^[a-z0-9_-]{1}[a-z0-9_.-]{0,62}[a-z0-9_-]{1}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.01', 'withdrawMin': '0.2', 'withdrawMax': '10000000000', 'minConfirm': 1, 'unLockConfirm': 5, 'sameAddress': False, 'estimatedArrivalTime': 20, 'busy': False, 'country': 'BINANCE_BAHRAIN_BSC'}, {'network': 'BNB', 'coin': 'NEAR', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': False, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': 'Both a MEMO and an Address are required to successfully deposit your BEP2 tokens to Binance.', 'name': 'BNB Beacon Chain (BEP2)', 'resetAddressStatus': False, 'addressRegex': '^(bnb1)[0-9a-z]{38}$', 'addressRule': '', 'memoRegex': '^[0-9A-Za-z\\-_]{1,120}$', 'withdrawFee': '0.035', 'withdrawMin': '0.07', 'withdrawMax': '9999999999.99999999', 'minConfirm': 1, 'unLockConfirm': 0, 'sameAddress': True, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
8,AUDIO,True,True,Audius,0,0,0,0,0,0,0,False,True,"[{'network': 'ETH', 'coin': 'AUDIO', 'withdrawIntegerMultiple': '0.00000001', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'Ethereum (ERC20)', 'resetAddressStatus': False, 'addressRegex': '^(0x)[0-9A-Fa-f]{40}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '14', 'withdrawMin': '28', 'withdrawMax': '10000000000', 'minConfirm': 12, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'AE,BINANCE_BAHRAIN_BSC'}]"
9,HNT,True,True,Helium,0,0,0,0,0,0,0,False,True,"[{'network': 'HNT', 'coin': 'HNT', 'withdrawIntegerMultiple': '0.01', 'isDefault': True, 'depositEnable': True, 'withdrawEnable': True, 'depositDesc': '', 'withdrawDesc': '', 'specialTips': '', 'name': 'Helium', 'resetAddressStatus': False, 'addressRegex': '^(1)[0-9A-za-z]{50}$', 'addressRule': '', 'memoRegex': '', 'withdrawFee': '0.05', 'withdrawMin': '1.5', 'withdrawMax': '10000000000', 'minConfirm': 1, 'unLockConfirm': 0, 'sameAddress': False, 'estimatedArrivalTime': 5, 'busy': False, 'country': 'BINANCE_BAHRAIN_BSC'}]"
